recipient,amount,signature
DBu3oTA3DB9ptGkcmA1tNn2mZHQnw1cGvxsM6ChX3zih,0.681165,4Zm6nqRyAjatiffhVMyhopZ6qJZNSmSfo3jcvdgnaRf8mELyzBbKsbAzD4zZsDRVsiypVAnQh4s7wUxwgJVJLXCH
48CJZxTMxtYT3aexRqsAp9pXyeGvobLzyvSqqJJtqGM4,12.558149,2htKat9QNXXiQ5QPXzpQPv19gkZkJNVbvHy64GLSkq3ymQvFUCBU1kyZocXQzecdYZxpcPQYmH4DFyUCU3mjRgMc
7VmxDEhMknFSM9jxXEHUhbZ3SZevQ6GPjHUKy6QCDfMj,0.003829,4zCRjn3ojsz4i3bgkBteZTc8jKPFCcLNnifBc57Vfp7qR4Ea7jEAW31srw7SWMX37yVZLvqJKMMJjpAoZjTBKaPx
EQV7J9xiv9m1qVqghdC6fvjsS5iPqV8k4u8Rhn2ChfnU,1.914376,3uN7apoz7SfguquDBHGH6tSZiRw6dq6rs7ZFN2szHwqg6bJh6JMHobHjrAMkacfzaFSPdUpzWVZjnALn3ChYcrJW
2RsTcbWsMU2W6KsWKbkGWZhwqdEb3WK15tbsbaDtv2jh,17.009880,3ugn4BpMoDsPko4i1oskVafVNbkDQKfmpbSZMF3LeHB6rwA8Suvb8oYZaLHDYFs4jJShi7JnDiWX9TfgUmL6k3Fo
Esf41DSBBnRTrRpf6qxstusYKKkJ4hKyYhNqZLX2cVQf,0.021722,4YAEBRRyWmc4q57HyHXn3gHATuhEysFk2PjYmwAU97e3PWzxbaMdThQS2j9vH6Wi2sNSiqho6LVWjx3nQqPGUJKo
Ei7RUzpfRd6g7KLajY5peWh1pT1kYgdEHnVBgBDkvWZA,0.078162,5pZtFKynUSm8NovZbuVSo5kav5wS24RpuHB3MomRhJHm6iL1M4i7yeWue1UMns3xuAnE7YF2FFt1py7Z9FazfS4s
ALciGRcP2GXPmwbFhsXYFRXsBe9oiHXosJdaDUKB8oQ6,0.023583,4SkcGdf9qXuGQHNUuhs1tktJfC1cCveayuVAWkhDwy98GhkhbMjECa8ZB55ovzHgsPbAuk22n3Smj3WrwzLWriH8
Cq11wCe15Vmb9UJnECd3MRZgYDfqaZbbvqiJ8iUYoCDo,0.018746,bLBu3M27JhRVn39NxQeVtEPwUPAL5SATyrxzWi9JzoqF3mrmLFvXaPbKQAsjR4qgWZuhdpH8mHWgDbSkFVpPsTx
71L4YCdaWavnBQKpbyJEjtXr8DYhToBcYfXyNe8oLNFW,1.531573,3tw6vzm29E1m3ehusvhLd6dX2QXGKSpkrjCHtzrPTmW42F6SVqrwckLRmo6VoUZWPtqfkV7YRjkQuYDwdgT6UfAe
ALJG1xnrj2yxNSvGnnBXLW8kdJda9N7Vn855Bnmb3E1R,0.076349,5ovZmyWjkGsWRZbCZyXs2R4ewUiTmVYvLU8YCuKhumiykh5G4iSyp8k2kFzBZLycscwRUKg7c6YzNSD7yvXqvcj
Dpa6KrrLRREWq1CeQ7XZpf6Mqx8cWuQWcQvoUvhyX4Dh,40.466933,5YFyezHGkV8c8v4vofGTnkvno37ygUqPQSGhR9PMbkoyR7oaqzVbhzY7pqUVrkQM7aKqsZTS7HpnsiodEaCcEWAJ
56jFrZ62wYHHAWTxHKV32o3LW4qcFLfLhnwoU6jZsbSk,0.188003,A2rf7Wv2WMurqhyYCH8sS7vRRvU6UDXvYpPjKB2cmD2X1xzvaUdexP27kUFN9AD32K1qya8D4YKHuqrPHEuLsCm
4ETCt9SnQW6tDWMUYkZqra2zbdPs1rh8BviX8KZRT8gj,0.060681,64KCKFKZv9vyZ5RwywgmRqGJHoGppRkeqpxTmcg7YVDHePe8ZuJ5fq3VdxizYGZT8e5y1YS86M1PQhMTYktCg3Sp
EVhaQK8fPxnSiPDoacLHJZTNaUHDVmUt5rvXVNJRhzDD,0.076566,45pDKtGrugpioB2ofUtiTTcmf5HZWYKGqyDdHjLUchBXRsNjBaRDUrbrxLsVNYyMnqyhCeM7XUtwCkb5BN4wzgUE
DC19XybMvfzQiP9BmYys2xYcFpJsifEUp1b6WQ1mrusX,0.121247,4W76UiXJHJ2kteYYM9aaxwzARs5ijRAM4i1MBV6oR3DyLfqp4FNF78AfhALpSWXYUjp4r44SLHEbW6P7NxueonBk
CWbmDZMCvwYvtxWWTRww3gQVBiFDJ7Jd6fZLb55Tn79B,31.392725,5WF5p4Vxw2QgQpWbKbNd1KMJvL3kpWmGFjnf7sZbcbttBLNvfdBXFfkgUKU58Qg7g6bSucveNNjwL19kbi1exkJ1
FRjyhbMy8BLSYMHVyd3pHYMwtBaWsEkknkdzAKAcBvjv,0.000387,57QmNwR9E5V841aWx9yU3CSuRrqWAwugp25EwSNEzji15dZo2K1Afb55uXRCh5FU6bhgcBfZwVCEMHAdhTbUEXwT
22VvQpW4uzxkAkCMNmqQgtbQaT31SiCgFXsKBX7aH4bd,0.154598,2sxQdYASoy2xcbpNKW1jEc3vi8dfrYU4kJ8U8BXSSW9bmJap3qbimF6878GLLTN64CEMNEGns1U99448D3Pd6C21
3P5sx9hQ3E4bJRV4EcufKc1vHwYhf1CLTwcZiRA8dSzQ,0.000379,64kTjkU9Bu27Fg5BTqEiEjDNQn35qFP7VHnv39XwjwAbzJLjfRDne1CLef8MJDprpN6My522qS7jwGE4ayhNgSaa
FijJnUyXkCwJGR2JQkiNacX5mai9LvNUHygNBrBpDTz2,0.008151,2Wv2amEWSLapNjrNT4igTMdCWxzD8sXvudmDSdTkgyKhtoRNnhD1RJYc2RD8sWjCBLbYkhLANyhdBLYnJKSqv2Xu
3K32hiFnFcQMqeCMDgR7NZYmfrSMEPKXhW98sLygiWCQ,0.007131,3QH9fmZrbNyueQKAyaDvPR3PXY8kZgCwHYWEtEMSKNjniAcJxgaQGCw4RwFZggp4rKaeRWop6J9uU4p885gihs2M
9bnWucxYvJJZhAns2GNhPK5quU5ApvKAPtTeKrxmsLHa,0.379317,5EPRfAjhcAdrmcr8upEgcqzTELVArrDqsNj16ThfWm1NhBrEqBxBwYA6xS3uKwjZNGuutdM2W6xv9k977b3XDbyA
Ept8apWDiNumpFJ6z9qun8Sz4h9RdxfpGzD2Qe2YJVqc,0.000762,2Mon34eHpgt52ZSwXYUUNA9cwJo376HrUa2QRfy8Y21UG8emj25gNPR15gJGR3ZLwcb4vE8Vav8JyeccVkZV7qym
DTLB1utNaotfRkKUX1DTGW92ptJrRFJ4E3a5PL5hw6Gz,0.007577,5upkUL73nAH1FmfNnu1hrDvTsQs49FsrNmoQttL4ZZDKUEF5Awc5QtymzvWa2JXn6wFaALYMhafZiipW59q9pmcG
EAwUyvedUTmrkcqQ4XjTRsRKzzCAEj5AnuQeAx7h19ef,3.728357,iATBZQrEkWhHpV7PXEbQA1Wnr83HHFjqBnAgkPTpvBc1BLuboseJLTDEqivkX21hcocoCjUmQpnT2gUiqZrKuLE
3qaAYjffhXGFpNDfxvMeAMHaT5P6xdhn5ijqpQCC9QY4,0.104261,245jRqUqUtpSU4awDCkZREQ2SpWehnSPy2n8QbBEpq8aBiRQbk2oizypuAr3KjVzMaAxdoJiVZukERK4pYovrk5R
4jphBN8fmUsocvC4ArMrB9Moicyo1ZuPSNBmGHFpPmbA,4.213854,5NxzVW4GvLeFY3GduuP5pNCxxjCKith3Me6wTqJ9RcgoVseRFqH8nwp6s8p2WP6jXFvUEV8ozEaavSVbxDfwkpPL
Ecw9dtMhNc9EDPTJjbr2d5KoABs7GEoS7Gt1xxDHSyuR,0.001981,3p5aRCFNCgw2cGv856m1Muxb98eGr9vaXd7ojMxSuxHHd1CYHmrAz16iPMh45JyHH3AXodXo2r2rt4CekX8B4uvx
59S4GncWtWKFpYk8sepdTgCuyuKgPSXesAU6HkRDciVX,0.086118,38jULHAKNDF5ub71m7XWLgmt1m1CCfaL8R6ZTDFpbDSntznoYjS7q2sy2XjJEK64jJLVY7mebbzL5WUVP6kJadxj
6dyHsELvkxAhZmKYinNa9C12F5CGf1R4c6MWqbmmmpmb,0.078162,5uoxzKqVrD8NrLHB8tiVTrrF1cEsKTUm6exm2LTcHDMvQh7uR2JuPJcguDMdSXDXTK5SKR6uFVAFZNMwHtH385GK
2Dm22D6RphiEDWx2JKPuNAE1EKt66KBMyr7976PPSLKf,0.003872,8FWECUX623Y5ao9vwt5MnwSubF48FxGNbrkpfNWXkdQMBNpbUfPkkXobKfh8qyRbsAAAzjokiVQbCEscikW1pkx
Ca1F8Bc9Qo6yu6LWNqaGinUAoqAnFKHCL8TNWJNDEapK,7.593733,5r9iH1mg5uFQF4nVwfEgv82BbQfNAWzQfUmbr57JjEmrh4GkHkiPTTKFCRUSyGvFZ52o1Wccba7qZftje6tC1VbS
14JySzhPWNNKzUeQgyUeuSUVdnwJNdNuHiAYZceBAXRp,0.008740,9q1jkQCXVkBj9kVGr2qZx4mxbYzDWdq5KzjyPSUeqg1qFbC357QPUi2wQ6UPzBVKmpKdBZwhc3PNvwvgjQEzU66
2cja1bW2KEBEYJfrZ3onNyrbcNunRqSKGvU38DJRX84s,0.076598,JxVnAmHKiXbZ9kb85oYXyRDLMne2YcUaem7ZH32H6PXmrf2XzNZsLd4MaGp8YSw5C3FTzP8phBErBPPbUmhKsQs
7kqKDYy7z7qUEeA38zCvAHSmo9vWQP4AcGFBUdfHVwHd,0.007488,4wnt1ZHzeddcDpLos28UDunWqtuxvGF5tqWMoPJ8ZDyK7DxXENKFukuzuQhbdUv4sugExZi43V5P96YzTshrAhik
9GpcWLWGjKF7GdjManUFFNSX8uTgcK1AJUjUbmwFdHpK,0.002270,eBr2oSae8KteAUdDxD1JjVhdeT34gCwi1GbaGXrX3vRSB9ZAG5S3KJ21phQRzQjNApPgezFWxmfaWQi9G2pJT79
3bXPcKp56ALDpRRT2b2YkuFdjSWMH9XpR8jQPuAJagUY,3.038570,3pAF77g8UKeDFzfB4PpgerQp8XQKf2QTSxbfver39kLhayhfEpw1z3Wvkjfd3q8hHtuqWswcDNQDQKB5pWXo6GSK
5dLwFdzNFBgJWyC1Awe1dhHD1sXcPgSBtwh6jXEdcYGb,0.024741,3GWqi1rQXCfPxCd9moZPwW86SMb1bf2jwHs26Aq16toHbQoofVRzTDtrPMMqGJqwKSB5HuqVQUetuaFjnrkMsMaA
75o6fpaEA6XzrW52JPgTQWd8hxiAe3EniYv9f3W581hu,0.015177,3a1LJ7yyDUMFPYEBXrGPLrhD1KE9Ucbo4viuvk5zdTyTsm3oX31TouRT1UTQ3WxSkB5rSPLNp41ffKEHFSnkLk9h
pVKaVZunaSbSysZK8GWqjHxuNq3D7TzgkJxcrcacyDu,22.403686,3dc5zMy5w4WP9dTDAFcsYpuNWapN59rbcaRTDQHSFti3EAk9GuFap93Bvs4aePHX2UH8TCtnSkizt4udhibQKer2
ACH82ak41JGag2PZAULSBfbAFocEycjPGEDn95K1ox5v,0.078163,4cjsS7uPUya2cxwuo5h15thKsGcoLwPtTnAQ2zFbRKj5SpicdTnC5ZXYWaan8Fb2FYJKsrFcmXwu8Z29ndtebE1q
GBNDuqUoDATDrEwewACz7LDBs7ttvsjaJ2j4iBt3dVVv,0.729923,2PoJSNbdwDAhiWByLTqiqH7VrvucKsgdT9tWCWSSV3ZXsVdeQhn5CSzmJ2MnYCvnYbuk514aSMzs1MN9cxLYx7RK
auymzoZ3Vw9GvhDLNa4cyoPaWiaKui1fcsyeiah7Uar,0.078162,2U99cDMp7sRzLPj83y1KTRy6XtFeFhTPoaqhfsxCm2pf6NC6HwctpcAnZaTCjUzPGNodDFnHufcqu2uTapoKvcHU
7GSGbdFhdMTyAerSNahFZa8Ene9GqmA3KAQ7c9oUMPsb,0.037462,oFoiH6HFQHGgfMRjvtPncCwszZTYA5PDNuypeT1x2tuViQmiTc1QwtKJdK7sBPNJAqmqsQ89kPgu6okXsu6X1PD
86sU36JN5Pv4WM3bxAWmN9eGHPmkWp1H5oFMyNX8rdKp,0.078163,2Qe91KuNTCwT2wzCGsM5c3bBrhSuaSE2RR22eVUevxCkJmv8E2wPdR1Rrir7mezuAG9rMfCtTLaiEuQRwHcWbYax
3qynjXUKeN8nAPAh1jxxF2NmH1Yov18Xqb79PFgYVBFu,0.378434,2Asc25YNmD8YpSD2EyWRtozXUzkLTbu3arCBAdH4s5534PXmeHR2JoUUoLd3d6U8NLWi9w9o29TFd14iZ2rWD5Dn
7b1wZVH3DMfXvGgUUx4LSSMp3QDFkU9QZS36e4mxSDGE,0.189539,3P9opxDDot5RyuvAXFqw8L2g1gykKcufubWD9FRrUwD53yNKMAdmQpwgGAKuFMYppSvVbQCDULSrnQYcxZTuzw7p
G3XVyGLKodW1bFPUDGivKntvo2Db47XfYoqrH4GeGMP1,0.835205,2CybUup4227fL9szTXVet7LwdLUdFp7r6M4k6t4hbdemmzaAqmjUbA8ZDFjqebwxfqQqsLnyLP7vFatHbAvFF74D
